City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Departamento de Maldonado,90,UY,18-06-2020,93,-34.67,-54.92,57.99,14.99
Hushitai,0,CN,18-06-2020,72,41.93,123.51,64.4,4.47
Saldanha,0,ZA,18-06-2020,54,-33.01,17.94,57.2,4.7
Tanabe,100,JP,18-06-2020,97,33.73,135.37,66.99,11.88
Asha,0,RU,18-06-2020,76,55.0,57.27,44.02,4.41
Ancud,75,CL,18-06-2020,87,-41.87,-73.82,50.0,9.17
Aklavik,40,CA,18-06-2020,67,68.22,-135.01,59.0,8.05
Avera,90,US,18-06-2020,45,33.19,-82.53,84.2,4.7
Mahébourg,75,MU,18-06-2020,78,-20.41,57.7,71.6,12.75
Bredasdorp,0,ZA,18-06-2020,81,-34.53,20.04,48.2,4.88
Mataura,0,NZ,18-06-2020,83,-46.19,168.86,39.0,3.0
Tasiilaq,100,GL,18-06-2020,75,65.61,-37.64,42.8,49.44
Qaanaaq,0,GL,18-06-2020,85,77.48,-69.36,35.19,1.72
Thompson,90,CA,18-06-2020,100,55.74,-97.86,37.4,13.87
Avarua,74,CK,18-06-2020,64,-21.21,-159.78,75.2,9.17
Lorengau,34,PG,18-06-2020,77,-2.02,147.27,82.6,8.1
Ponta do Sol,20,PT,18-06-2020,73,32.67,-17.1,69.8,5.82
Fairbanks,1,US,18-06-2020,35,64.84,-147.72,73.99,3.49
Portland,1,US,18-06-2020,38,45.52,-122.68,78.01,4.7
Hobart,75,AU,18-06-2020,86,-42.88,147.33,41.0,6.93
Kapaa,90,US,18-06-2020,94,22.08,-159.32,79.0,18.34
Tabou,98,CI,18-06-2020,82,4.42,-7.35,77.45,7.7
Cape Town,0,ZA,18-06-2020,48,-33.93,18.42,61.0,10.29
Bakhtiyārpur,77,IN,18-06-2020,86,25.47,85.52,81.21,9.15
Rikitea,100,PF,18-06-2020,85,-23.12,-134.97,75.85,16.06
Punta Arenas,90,CL,18-06-2020,86,-53.15,-70.92,39.2,16.11
San Policarpo,92,PH,18-06-2020,87,12.18,125.51,76.87,5.28
Norman Wells,75,CA,18-06-2020,31,65.28,-126.83,78.8,12.75
Rome,1,US,18-06-2020,35,43.21,-75.46,87.8,3.56
São Miguel,75,BR,18-06-2020,94,-5.47,-35.37,75.2,9.17
Port Alfred,0,ZA,18-06-2020,80,-33.59,26.89,55.99,5.01
Chui,34,UY,18-06-2020,82,-33.7,-53.46,59.95,11.7
Atar,0,MR,18-06-2020,16,20.52,-13.05,99.46,10.25
Yumen,12,CN,18-06-2020,24,40.28,97.2,67.5,0.72
Longyearbyen,75,SJ,18-06-2020,65,78.22,15.64,44.6,5.82
Deputatsky,44,RU,18-06-2020,44,69.3,139.9,73.0,2.73
Carnarvon,0,AU,18-06-2020,76,-24.87,113.63,57.2,10.29
Albany,53,US,18-06-2020,57,42.6,-73.97,88.0,1.99
Port Elizabeth,0,ZA,18-06-2020,87,-33.92,25.57,50.0,2.24
Kodinsk,2,RU,18-06-2020,71,58.69,99.18,51.28,4.83
Narsaq,40,GL,18-06-2020,61,60.92,-46.05,46.4,11.41
Ushuaia,26,AR,18-06-2020,69,-54.8,-68.3,35.6,4.7
Upernavik,0,GL,18-06-2020,81,72.79,-56.15,36.48,11.41
Busselton,49,AU,18-06-2020,98,-33.65,115.33,39.0,3.18
Broken Hill,0,AU,18-06-2020,70,-31.95,141.43,46.4,9.17
Barrow,1,US,18-06-2020,75,71.29,-156.79,44.6,8.05
Whitehorse,90,CA,18-06-2020,58,60.72,-135.05,57.2,12.75
Manono,30,CD,18-06-2020,43,-7.3,27.42,69.3,3.98
Falmouth,100,GB,18-06-2020,93,50.15,-5.07,59.0,13.87
São João da Barra,29,BR,18-06-2020,69,-21.64,-41.05,75.2,13.87
Puerto Ayora,67,EC,18-06-2020,51,-0.74,-90.35,84.2,14.99
Chokurdakh,65,RU,18-06-2020,35,70.63,147.92,78.57,4.0
Jamestown,40,US,18-06-2020,54,42.1,-79.24,79.0,10.29
Buchanan,100,LR,18-06-2020,84,5.88,-10.05,77.63,11.54
San Vicente,42,AR,18-06-2020,82,-26.62,-54.13,67.68,3.67
Nikolskoye,75,RU,18-06-2020,72,59.7,30.79,68.0,2.53
Buala,2,SB,18-06-2020,76,-8.14,159.59,81.84,3.65
Bethel,90,US,18-06-2020,69,41.37,-73.41,77.0,6.93
Manjacaze,75,MZ,18-06-2020,95,-24.71,33.88,60.91,5.39
Le Vauclin,42,MQ,18-06-2020,94,14.55,-60.84,78.8,11.41
Atuona,13,PF,18-06-2020,76,-9.8,-139.03,80.08,12.55
Taltal,1,CL,18-06-2020,50,-25.4,-70.48,66.76,5.1
Dikson,87,RU,18-06-2020,97,73.51,80.55,32.95,16.93
Mayo,1,US,18-06-2020,65,38.89,-76.51,82.4,11.41
Yellowknife,20,CA,18-06-2020,55,62.46,-114.35,66.0,14.99
Penzance,100,GB,18-06-2020,93,50.12,-5.54,59.0,13.87
Butaritari,99,KI,18-06-2020,60,3.07,172.79,83.21,0.72
Tuktoyaktuk,75,CA,18-06-2020,87,69.45,-133.04,44.6,9.17
Esperance,28,AU,18-06-2020,93,-33.87,121.9,46.4,11.41
Goderich,0,CA,18-06-2020,66,43.75,-81.72,73.99,1.99
Kahului,20,US,18-06-2020,48,20.89,-156.47,87.8,24.16
Hambantota,75,LK,18-06-2020,83,6.12,81.12,81.34,16.51
Saint Anthony,20,US,18-06-2020,54,45.02,-93.22,84.2,10.29
High Prairie,80,CA,18-06-2020,48,55.43,-116.49,67.12,6.46
Hilo,75,US,18-06-2020,65,19.73,-155.09,82.4,9.17
Olafsvik,98,IS,18-06-2020,74,64.89,-23.71,49.21,14.09
Hermanus,0,ZA,18-06-2020,77,-34.42,19.23,52.0,1.99
Zunyi,84,CN,18-06-2020,87,27.69,106.91,66.83,1.41
Bilibino,2,RU,18-06-2020,33,68.05,166.44,71.64,4.83
Cabedelo,90,BR,18-06-2020,100,-6.98,-34.83,71.6,2.24
Faya,20,SA,18-06-2020,49,18.39,42.45,77.0,3.4
Qasigiannguit,90,GL,18-06-2020,72,68.82,-51.19,33.8,6.93
Altamont,1,US,18-06-2020,19,42.21,-121.74,75.99,5.82
Kiama,6,AU,18-06-2020,80,-34.68,150.87,50.0,1.01
Surgut,20,RU,18-06-2020,65,61.25,73.42,46.4,6.71
Ribeira Grande,75,PT,18-06-2020,88,38.52,-28.7,64.4,5.82
